Provider	Comparison	Info
43	56841	 M Addr match: 6
45	4336	 Gender match: 1
45	4336	 Phone match: 3
45	4336	 M Addr match: 7
45	4336	 P Addr match: 7
45	7892	 Gender match: 1
45	7892	 Phone match: 3
45	7892	 M Addr match: 7
45	7892	 P Addr match: 6
45	9175	 Gender match: 1
45	9175	 Second Spec match: 1
45	9175	 M Addr match: 6
45	9175	 P Addr match: 7
45	15851	 Gender match: 1
45	15851	 Phone match: 3
45	15851	 M Addr match: 7
45	20852	 Gender match: 1
45	20852	 M Addr match: 7
45	20852	 P Addr match: 7
45	29806	 Gender match: 1
45	29806	 Second Spec match: 1
45	29806	 M Addr match: 7
45	29806	 P Addr match: 7
45	33384	 Gender match: 1
45	33384	 Phone match: 3
45	33384	 M Addr match: 7
45	33384	 P Addr match: 7
45	50785	 Gender match: 1
45	50785	 Phone match: 3
45	50785	 M Addr match: 6
45	50785	 P Addr match: 7
